Customer_Name,Address,Bill_ID,Billing_Month,Area,Feeder_Type,Loadshedding_Hours_Per_Day,Units_Billed_kWh,Units_Consumed_kWh,Bill_Amount_PKR,Bill_Payment_Status,Electricity_Theft_Suspected
Hassan Baloch,"House #44, Chowk #41, Farsi Bagh Nawabshah",KE-FBN-202404-0080,2024-04,Farsi Bagh Nawabshah,Urban Commercial Feeder,0.8,135.0,210.9,4410,Paid,Yes
Robina Chachar,"House #122, Road #13, Isharpura Nawabshah",KE-ISN-202405-0083,2024-05,Isharpura Nawabshah,Rural Feeder,9.6,44.2,45.7,1350,Paid,No
Haris Rind,"House #267, Lane #32, Society Colony Nawabshah",KE-SCN-202305-0024,2023-05,Society Colony Nawabshah,Urban Residential Feeder,4.2,70.9,73.7,2000,Paid,No
Nasir Ansari,"House #330, Lane #5, Farsi Bagh Nawabshah",KE-FBN-202312-0056,2023-12,Farsi Bagh Nawabshah,Urban Commercial Feeder,0.9,98.2,101.3,3170,Paid,No
Robina Marri,"House #313, Street #23, Farsi Bagh Nawabshah",KE-FBN-202305-0022,2023-05,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.6,118.9,116.4,3600,Unpaid,No
Adnan Sheikh,"House #217, Mohalla #41, Gareebabad Nawabshah",KE-GBN-202408-0098,2024-08,Gareebabad Nawabshah,Low-Income Residential Feeder,8.5,32.9,32.9,1090,Paid,No
Ahmed Soomro,"House #205, Street #17, Gareebabad Nawabshah",KE-GBN-202310-0046,2023-10,Gareebabad Nawabshah,Low-Income Residential Feeder,7.5,29.2,30.3,990,Paid,No
Sobia Abbasi,"House #130, Block #8, Society Colony Nawabshah",KE-SCN-202412-0120,2024-12,Society Colony Nawabshah,Urban Residential Feeder,3.3,76.0,79.3,2630,Paid,No
Rashid Abbasi,"House #101, Road #48, Farsi Bagh Nawabshah",KE-FBN-202403-0074,2024-03,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.1,114.8,117.9,3690,Paid,No
Fatima Panhwar,"House #94, Lane #38, Farsi Bagh Nawabshah",KE-FBN-202405-0083,2024-05,Farsi Bagh Nawabshah,Urban Commercial Feeder,4.3,169.7,176.2,5130,Paid,No
Salman Solangi,"House #310, Mohalla #4, Farsi Bagh Nawabshah",KE-FBN-202501-0124,2025-01,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.7,92.4,94.4,2610,Paid,No
Muhammad Shah,"House #269, Street #24, University Colony Nawabshah",KE-UCN-202512-0179,2025-12,University Colony Nawabshah,Urban Residential Feeder,3.1,100.5,99.8,3350,Paid,No
Owais Sethar,"House #265, Chowk #4, University Colony Nawabshah",KE-UCN-202501-0124,2025-01,University Colony Nawabshah,Urban Residential Feeder,2.9,56.4,56.2,1920,Partially Paid,No
Faisal Jatoi,"House #285, Lane #4, Gareebabad Nawabshah",KE-GBN-202504-0140,2025-04,Gareebabad Nawabshah,Low-Income Residential Feeder,10.3,53.4,77.4,1580,Unpaid,Yes
Tariq Ali,"House #263, Chowk #24, Isharpura Nawabshah",KE-ISN-202304-0020,2023-04,Isharpura Nawabshah,Rural Feeder,12.3,30.9,57.4,980,Unpaid,Yes
Hassan Bhutto,"House #286, Chowk #27, University Colony Nawabshah",KE-UCN-202509-0165,2025-09,University Colony Nawabshah,Urban Residential Feeder,6.2,129.5,130.2,4500,Paid,No
Yasmin Sethar,"House #256, Chowk #1, Isharpura Nawabshah",KE-ISN-202506-0147,2025-06,Isharpura Nawabshah,Rural Feeder,14,65.8,64.8,1990,Paid,No
Rabia Abbasi,"House #132, Chowk #19, Isharpura Nawabshah",KE-ISN-202406-0090,2024-06,Isharpura Nawabshah,Rural Feeder,14,29.2,28.7,940,Partially Paid,No
Sara Abbasi,"House #344, Chowk #25, Society Colony Nawabshah",KE-SCN-202307-0034,2023-07,Society Colony Nawabshah,Urban Residential Feeder,6.8,109.3,110.4,3270,Paid,No
Haris Panhwar,"House #189, Street #41, Manwabad Nawabshah",KE-MWN-202509-0162,2025-09,Manwabad Nawabshah,Semi-Urban Feeder,6.3,40.5,39.4,1220,Paid,No
Aliya Sheikh,"House #354, Street #11, Society Colony Nawabshah",KE-SCN-202308-0036,2023-08,Society Colony Nawabshah,Urban Residential Feeder,6.4,97.2,98.1,2890,Paid,No
Iqra Ansari,"House #229, Block #42, Farsi Bagh Nawabshah",KE-FBN-202407-0094,2024-07,Farsi Bagh Nawabshah,Urban Commercial Feeder,5.5,68.1,71.1,2250,Paid,No
Umer Bijarani,"House #52, Gali #25, Isharpura Nawabshah",KE-ISN-202310-0050,2023-10,Isharpura Nawabshah,Rural Feeder,8.1,30.5,29.9,870,Paid,No
Asma Shah,"House #51, Lane #26, Manwabad Nawabshah",KE-MWN-202304-0017,2023-04,Manwabad Nawabshah,Semi-Urban Feeder,8.3,72.4,74.0,2290,Partially Paid,No
Rukhsana Memon,"House #419, Street #29, Isharpura Nawabshah",KE-ISN-202401-0063,2024-01,Isharpura Nawabshah,Rural Feeder,5.8,27.6,43.7,820,Paid,Yes
Imran Rind,"House #55, Street #10, Isharpura Nawabshah",KE-ISN-202310-0048,2023-10,Isharpura Nawabshah,Rural Feeder,6.6,37.2,49.2,1120,Unpaid,Yes
Ali Khan,"House #249, Chowk #47, Gareebabad Nawabshah",KE-GBN-202402-0066,2024-02,Gareebabad Nawabshah,Low-Income Residential Feeder,4.5,61.5,62.5,1790,Paid,No
Nasir Marri,"House #440, Lane #20, University Colony Nawabshah",KE-UCN-202309-0041,2023-09,University Colony Nawabshah,Urban Residential Feeder,3.1,85.3,85.5,2760,Paid,No
Sara Malik,"House #367, Gali #42, Farsi Bagh Nawabshah",KE-FBN-202408-0098,2024-08,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.2,109.9,151.1,3230,Paid,Yes
Hamza Sethar,"House #326, Block #19, Isharpura Nawabshah",KE-ISN-202403-0072,2024-03,Isharpura Nawabshah,Rural Feeder,9.9,29.5,64.3,850,Partially Paid,Yes
Rashid Abbasi,"House #278, Lane #19, Farsi Bagh Nawabshah",KE-FBN-202410-0107,2024-10,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.2,142.3,138.5,4890,Paid,No
Salman Memon,"House #89, Mohalla #26, Gareebabad Nawabshah",KE-GBN-202408-0100,2024-08,Gareebabad Nawabshah,Low-Income Residential Feeder,12.8,52.2,53.3,1810,Paid,No
Rizwan Abbasi,"House #378, Street #32, Isharpura Nawabshah",KE-ISN-202308-0040,2023-08,Isharpura Nawabshah,Rural Feeder,13.6,38.6,39.4,1230,Paid,No
Asad Sheikh,"House #186, Road #9, Society Colony Nawabshah",KE-SCN-202303-0015,2023-03,Society Colony Nawabshah,Urban Residential Feeder,4.6,77.2,75.0,2180,Paid,No
Rashid Abbasi,"House #152, Mohalla #23, Isharpura Nawabshah",KE-ISN-202411-0115,2024-11,Isharpura Nawabshah,Rural Feeder,6.2,52.6,54.1,1730,Unpaid,No
Rizwan Mahar,"House #377, Lane #2, Manwabad Nawabshah",KE-MWN-202502-0129,2025-02,Manwabad Nawabshah,Semi-Urban Feeder,4.8,62.3,65.3,2080,Paid,No
Sobia Bhurgri,"House #408, Road #15, University Colony Nawabshah",KE-UCN-202507-0155,2025-07,University Colony Nawabshah,Urban Residential Feeder,6.3,86.8,84.9,3020,Paid,No
Waqas Sethar,"House #432, Chowk #46, Society Colony Nawabshah",KE-SCN-202310-0047,2023-10,Society Colony Nawabshah,Urban Residential Feeder,4.9,111.2,114.6,3380,Paid,No
Ali Shah,"House #45, Block #49, Manwabad Nawabshah",KE-MWN-202512-0180,2025-12,Manwabad Nawabshah,Semi-Urban Feeder,3.9,94.9,97.1,2990,Paid,No
Robina Bijarani,"House #195, Road #16, Isharpura Nawabshah",KE-ISN-202511-0174,2025-11,Isharpura Nawabshah,Rural Feeder,8.0,48.3,76.3,1540,Paid,Yes
Hassan Soomro,"House #118, Street #7, Farsi Bagh Nawabshah",KE-FBN-202412-0117,2024-12,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.4,77.5,80.5,2550,Paid,No
Saleem Bhurgri,"House #326, Road #16, Manwabad Nawabshah",KE-MWN-202510-0168,2025-10,Manwabad Nawabshah,Semi-Urban Feeder,5.9,72.1,125.1,2190,Partially Paid,Yes
Junaid Bhutto,"House #380, Lane #11, Society Colony Nawabshah",KE-SCN-202403-0074,2024-03,Society Colony Nawabshah,Urban Residential Feeder,2.5,74.5,72.6,2590,Paid,No
Danish Solangi,"House #214, Block #5, Isharpura Nawabshah",KE-ISN-202402-0069,2024-02,Isharpura Nawabshah,Rural Feeder,8.0,43.4,44.2,1410,Unpaid,No
Umer Malik,"House #8, Lane #22, Society Colony Nawabshah",KE-SCN-202510-0169,2025-10,Society Colony Nawabshah,Urban Residential Feeder,2.9,125.7,123.2,3680,Paid,No
Arslan Abbasi,"House #92, Block #6, Gareebabad Nawabshah",KE-GBN-202511-0174,2025-11,Gareebabad Nawabshah,Low-Income Residential Feeder,7.1,43.7,43.7,1510,Paid,No
Danish Malik,"House #389, Mohalla #49, University Colony Nawabshah",KE-UCN-202312-0059,2023-12,University Colony Nawabshah,Urban Residential Feeder,2.9,74.1,73.3,2540,Paid,No
Salman Sheikh,"House #450, Street #30, University Colony Nawabshah",KE-UCN-202504-0140,2025-04,University Colony Nawabshah,Urban Residential Feeder,5.6,127.9,124.5,3770,Paid,No
Salman Abbasi,"House #73, Block #6, Society Colony Nawabshah",KE-SCN-202301-0002,2023-01,Society Colony Nawabshah,Urban Residential Feeder,3.5,135.1,250.5,4400,Unpaid,Yes
Arslan Jamali,"House #418, Lane #2, Society Colony Nawabshah",KE-SCN-202512-0176,2025-12,Society Colony Nawabshah,Urban Residential Feeder,2.9,81.0,82.5,2650,Paid,No
Asma Ali,"House #84, Road #34, Farsi Bagh Nawabshah",KE-FBN-202302-0007,2023-02,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.0,119.5,120.5,3610,Paid,No
Sikandar Jamali,"House #325, Lane #26, Farsi Bagh Nawabshah",KE-FBN-202511-0171,2025-11,Farsi Bagh Nawabshah,Urban Commercial Feeder,0.7,123.7,126.8,3700,Unpaid,No
Rizwan Bhurgri,"House #237, Chowk #5, Society Colony Nawabshah",KE-SCN-202309-0045,2023-09,Society Colony Nawabshah,Urban Residential Feeder,2.5,77.4,79.0,2370,Paid,No
Saba Pathan,"House #11, Street #47, Farsi Bagh Nawabshah",KE-FBN-202507-0153,2025-07,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.0,77.3,78.4,2590,Paid,No
Kamran Soomro,"House #61, Gali #24, University Colony Nawabshah",KE-UCN-202305-0023,2023-05,University Colony Nawabshah,Urban Residential Feeder,6.0,135.8,137.8,4550,Paid,No
Junaid Ali,"House #256, Road #4, Isharpura Nawabshah",KE-ISN-202311-0052,2023-11,Isharpura Nawabshah,Rural Feeder,7.2,27.0,28.1,840,Partially Paid,No
Kamran Panhwar,"House #306, Mohalla #32, Society Colony Nawabshah",KE-SCN-202303-0013,2023-03,Society Colony Nawabshah,Urban Residential Feeder,3.6,94.9,96.7,3090,Paid,No
Rizwan Memon,"House #100, Chowk #10, Isharpura Nawabshah",KE-ISN-202511-0171,2025-11,Isharpura Nawabshah,Rural Feeder,7.1,41.4,83.2,1170,Paid,Yes
Sana Soomro,"House #394, Mohalla #40, Gareebabad Nawabshah",KE-GBN-202404-0076,2024-04,Gareebabad Nawabshah,Low-Income Residential Feeder,9.7,42.4,41.2,1410,Paid,No
Rabia Junejo,"House #48, Street #36, Manwabad Nawabshah",KE-MWN-202509-0164,2025-09,Manwabad Nawabshah,Semi-Urban Feeder,7.1,60.5,63.0,1980,Paid,No
Sana Rind,"House #396, Mohalla #34, Gareebabad Nawabshah",KE-GBN-202407-0095,2024-07,Gareebabad Nawabshah,Low-Income Residential Feeder,9.5,53.8,52.9,1720,Unpaid,No
Bilal Solangi,"House #103, Road #27, Society Colony Nawabshah",KE-SCN-202408-0096,2024-08,Society Colony Nawabshah,Urban Residential Feeder,2.9,93.7,92.7,2710,Paid,No
Rizwan Soomro,"House #92, Road #4, University Colony Nawabshah",KE-UCN-202304-0016,2023-04,University Colony Nawabshah,Urban Residential Feeder,3.2,129.9,127.4,4090,Paid,No
Adnan Mahar,"House #306, Chowk #43, Society Colony Nawabshah",KE-SCN-202311-0053,2023-11,Society Colony Nawabshah,Urban Residential Feeder,3.8,130.0,131.7,4420,Paid,No
Haris Chandio,"House #24, Mohalla #12, Manwabad Nawabshah",KE-MWN-202307-0035,2023-07,Manwabad Nawabshah,Semi-Urban Feeder,11.6,54.4,56.7,1860,Paid,No
Noman Soomro,"House #371, Gali #29, Manwabad Nawabshah",KE-MWN-202410-0107,2024-10,Manwabad Nawabshah,Semi-Urban Feeder,5.9,62.6,64.3,1980,Paid,No
Faisal Pathan,"House #297, Mohalla #26, Isharpura Nawabshah",KE-ISN-202411-0114,2024-11,Isharpura Nawabshah,Rural Feeder,8.8,39.0,40.8,1340,Partially Paid,No
Nadia Memon,"House #1, Road #42, University Colony Nawabshah",KE-UCN-202407-0092,2024-07,University Colony Nawabshah,Urban Residential Feeder,8.4,111.4,113.2,3600,Paid,No
Zainab Larik,"House #24, Lane #16, Gareebabad Nawabshah",KE-GBN-202512-0177,2025-12,Gareebabad Nawabshah,Low-Income Residential Feeder,6.9,52.5,54.9,1590,Paid,No
Danish Sethar,"House #106, Mohalla #25, Farsi Bagh Nawabshah",KE-FBN-202308-0039,2023-08,Farsi Bagh Nawabshah,Urban Commercial Feeder,4.1,199.9,194.4,5670,Unpaid,No
Saleem Larik,"House #319, Chowk #27, Gareebabad Nawabshah",KE-GBN-202304-0016,2023-04,Gareebabad Nawabshah,Low-Income Residential Feeder,6.9,32.3,46.0,1000,Paid,Yes
Aamir Mahar,"House #97, Street #30, Gareebabad Nawabshah",KE-GBN-202412-0116,2024-12,Gareebabad Nawabshah,Low-Income Residential Feeder,6.9,36.1,37.1,1160,Paid,No
Noman Pathan,"House #75, Chowk #8, Society Colony Nawabshah",KE-SCN-202407-0094,2024-07,Society Colony Nawabshah,Urban Residential Feeder,3.1,95.3,97.0,2780,Paid,No
Junaid Pathan,"House #49, Lane #9, Society Colony Nawabshah",KE-SCN-202406-0087,2024-06,Society Colony Nawabshah,Urban Residential Feeder,5.1,92.6,90.6,3050,Paid,No
Fahad Chandio,"House #325, Lane #34, Manwabad Nawabshah",KE-MWN-202411-0115,2024-11,Manwabad Nawabshah,Semi-Urban Feeder,3.8,44.3,61.6,1330,Partially Paid,Yes
Rashid Pathan,"House #329, Lane #23, Gareebabad Nawabshah",KE-GBN-202505-0143,2025-05,Gareebabad Nawabshah,Low-Income Residential Feeder,12.7,48.6,48.5,1680,Paid,No
Amna Ansari,"House #368, Mohalla #2, Society Colony Nawabshah",KE-SCN-202307-0031,2023-07,Society Colony Nawabshah,Urban Residential Feeder,4.6,73.8,72.9,2540,Paid,No
Farhan Sheikh,"House #63, Chowk #2, Manwabad Nawabshah",KE-MWN-202403-0075,2024-03,Manwabad Nawabshah,Semi-Urban Feeder,5.7,59.2,59.8,1820,Paid,No
Iqra Khaskheli,"House #22, Road #9, Society Colony Nawabshah",KE-SCN-202412-0118,2024-12,Society Colony Nawabshah,Urban Residential Feeder,3.3,92.0,89.3,3210,Paid,No
Saba Siddiqui,"House #272, Block #8, Manwabad Nawabshah",KE-MWN-202406-0088,2024-06,Manwabad Nawabshah,Semi-Urban Feeder,10.9,94.7,94.7,2730,Paid,No
Yasir Chachar,"House #159, Road #50, Society Colony Nawabshah",KE-SCN-202511-0171,2025-11,Society Colony Nawabshah,Urban Residential Feeder,1.7,115.2,113.0,3450,Paid,No
Shabana Chachar,"House #64, Street #4, Isharpura Nawabshah",KE-ISN-202404-0080,2024-04,Isharpura Nawabshah,Rural Feeder,11.8,30.4,55.3,970,Partially Paid,Yes
Shazia Siddiqui,"House #213, Mohalla #19, Society Colony Nawabshah",KE-SCN-202504-0140,2025-04,Society Colony Nawabshah,Urban Residential Feeder,4.5,91.6,92.6,2680,Paid,No
Sara Khaskheli,"House #102, Block #45, Society Colony Nawabshah",KE-SCN-202308-0039,2023-08,Society Colony Nawabshah,Urban Residential Feeder,5.8,108.9,113.2,3460,Partially Paid,No
Kashif Larik,"House #280, Chowk #20, Society Colony Nawabshah",KE-SCN-202402-0070,2024-02,Society Colony Nawabshah,Urban Residential Feeder,2.7,94.0,96.1,2650,Paid,No
Farhan Khan,"House #240, Mohalla #50, Farsi Bagh Nawabshah",KE-FBN-202505-0144,2025-05,Farsi Bagh Nawabshah,Urban Commercial Feeder,4.4,179.1,175.9,5890,Partially Paid,No
Yasir Junejo,"House #356, Gali #39, Farsi Bagh Nawabshah",KE-FBN-202411-0112,2024-11,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.9,173.2,177.5,4990,Paid,No
Farhan Chandio,"House #321, Road #1, Society Colony Nawabshah",KE-SCN-202306-0029,2023-06,Society Colony Nawabshah,Urban Residential Feeder,5.3,90.1,94.5,2730,Paid,No
Yasir Baloch,"House #361, Lane #33, Society Colony Nawabshah",KE-SCN-202309-0043,2023-09,Society Colony Nawabshah,Urban Residential Feeder,4.9,69.2,67.3,1990,Paid,No
Muhammad Khan,"House #264, Gali #39, University Colony Nawabshah",KE-UCN-202410-0107,2024-10,University Colony Nawabshah,Urban Residential Feeder,2.8,95.6,95.3,3310,Paid,No
Nida Malik,"House #351, Road #31, Farsi Bagh Nawabshah",KE-FBN-202501-0121,2025-01,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.6,153.5,160.7,4870,Paid,No
Maryam Siddiqui,"House #373, Chowk #1, Gareebabad Nawabshah",KE-GBN-202310-0050,2023-10,Gareebabad Nawabshah,Low-Income Residential Feeder,8.7,33.4,66.8,990,Unpaid,Yes
Shoaib Sheikh,"House #45, Block #31, Manwabad Nawabshah",KE-MWN-202409-0103,2024-09,Manwabad Nawabshah,Semi-Urban Feeder,9.0,56.3,117.0,1970,Unpaid,Yes
Arslan Junejo,"House #70, Block #8, Gareebabad Nawabshah",KE-GBN-202510-0166,2025-10,Gareebabad Nawabshah,Low-Income Residential Feeder,8.2,36.4,36.9,1240,Partially Paid,No
Kamran Jamali,"House #173, Chowk #44, Manwabad Nawabshah",KE-MWN-202409-0105,2024-09,Manwabad Nawabshah,Semi-Urban Feeder,7.7,90.7,91.4,2640,Paid,No
Shoaib Ansari,"House #59, Block #26, Manwabad Nawabshah",KE-MWN-202311-0052,2023-11,Manwabad Nawabshah,Semi-Urban Feeder,6.2,64.1,65.3,2070,Partially Paid,No
Farah Baloch,"House #340, Chowk #25, University Colony Nawabshah",KE-UCN-202401-0064,2024-01,University Colony Nawabshah,Urban Residential Feeder,2.0,66.8,64.9,2060,Paid,No
Samina Marri,"House #193, Block #41, Gareebabad Nawabshah",KE-GBN-202407-0091,2024-07,Gareebabad Nawabshah,Low-Income Residential Feeder,12.5,29.9,29.3,910,Paid,No
Yasir Sethar,"House #80, Mohalla #2, Isharpura Nawabshah",KE-ISN-202405-0084,2024-05,Isharpura Nawabshah,Rural Feeder,14,52.5,69.1,1800,Paid,Yes
Adnan Jatoi,"House #109, Lane #14, Society Colony Nawabshah",KE-SCN-202303-0014,2023-03,Society Colony Nawabshah,Urban Residential Feeder,1.6,74.6,75.8,2280,Paid,No
Ghulam Chachar,"House #9, Block #26, University Colony Nawabshah",KE-UCN-202408-0099,2024-08,University Colony Nawabshah,Urban Residential Feeder,6.4,105.2,108.8,3210,Paid,No
Kamran Bijarani,"House #221, Gali #42, Isharpura Nawabshah",KE-ISN-202305-0025,2023-05,Isharpura Nawabshah,Rural Feeder,10.1,47.8,99.7,1350,Paid,Yes
Sikandar Ali,"House #181, Block #36, Gareebabad Nawabshah",KE-GBN-202401-0061,2024-01,Gareebabad Nawabshah,Low-Income Residential Feeder,6.0,55.5,107.3,1730,Paid,Yes
Fahad Bhurgri,"House #363, Block #18, Society Colony Nawabshah",KE-SCN-202305-0025,2023-05,Society Colony Nawabshah,Urban Residential Feeder,4.1,98.5,101.6,2890,Paid,No
Rukhsana Jatoi,"House #19, Block #13, Society Colony Nawabshah",KE-SCN-202411-0114,2024-11,Society Colony Nawabshah,Urban Residential Feeder,3.5,83.1,84.7,2680,Partially Paid,No
Adnan Ali,"House #31, Gali #10, Isharpura Nawabshah",KE-ISN-202403-0074,2024-03,Isharpura Nawabshah,Rural Feeder,10.3,25.8,43.2,830,Paid,Yes
Samina Bhutto,"House #95, Block #40, Gareebabad Nawabshah",KE-GBN-202309-0045,2023-09,Gareebabad Nawabshah,Low-Income Residential Feeder,7.6,56.5,56.0,1850,Unpaid,No
Shabana Pathan,"House #184, Gali #20, Gareebabad Nawabshah",KE-GBN-202307-0032,2023-07,Gareebabad Nawabshah,Low-Income Residential Feeder,8.5,55.5,55.1,1640,Paid,No
Hina Solangi,"House #261, Lane #23, Isharpura Nawabshah",KE-ISN-202412-0119,2024-12,Isharpura Nawabshah,Rural Feeder,8.6,32.3,63.7,1080,Paid,Yes
Maryam Bijarani,"House #328, Block #33, Manwabad Nawabshah",KE-MWN-202502-0130,2025-02,Manwabad Nawabshah,Semi-Urban Feeder,5.6,103.2,100.5,2970,Partially Paid,No
Fatima Marri,"House #158, Gali #40, Farsi Bagh Nawabshah",KE-FBN-202510-0168,2025-10,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.8,73.5,76.7,2410,Paid,No
Aamir Larik,"House #248, Mohalla #17, Gareebabad Nawabshah",KE-GBN-202406-0090,2024-06,Gareebabad Nawabshah,Low-Income Residential Feeder,11.6,48.0,50.3,1470,Paid,No
Junaid Larik,"House #42, Road #26, Gareebabad Nawabshah",KE-GBN-202408-0096,2024-08,Gareebabad Nawabshah,Low-Income Residential Feeder,10.5,36.8,37.1,1050,Paid,No
Rabia Chandio,"House #422, Mohalla #31, Society Colony Nawabshah",KE-SCN-202306-0027,2023-06,Society Colony Nawabshah,Urban Residential Feeder,3.1,76.2,76.0,2280,Paid,No
Zeeshan Ansari,"House #14, Block #19, Farsi Bagh Nawabshah",KE-FBN-202312-0060,2023-12,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.0,115.8,117.2,3470,Paid,No
Abdul Marri,"House #394, Street #23, Gareebabad Nawabshah",KE-GBN-202502-0127,2025-02,Gareebabad Nawabshah,Low-Income Residential Feeder,8.4,30.2,30.5,960,Paid,No
Naila Junejo,"House #315, Gali #49, Society Colony Nawabshah",KE-SCN-202306-0028,2023-06,Society Colony Nawabshah,Urban Residential Feeder,4.7,130.7,128.1,4320,Paid,No
Uzma Qureshi,"House #8, Chowk #27, Society Colony Nawabshah",KE-SCN-202302-0007,2023-02,Society Colony Nawabshah,Urban Residential Feeder,3.4,97.4,99.8,3060,Paid,No
Iqra Rajput,"House #218, Mohalla #48, Society Colony Nawabshah",KE-SCN-202401-0063,2024-01,Society Colony Nawabshah,Urban Residential Feeder,2.0,113.5,117.0,3410,Partially Paid,No
Naveed Ansari,"House #445, Street #14, Farsi Bagh Nawabshah",KE-FBN-202303-0015,2023-03,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.1,176.3,171.5,5520,Paid,No
Faisal Marri,"House #203, Lane #17, University Colony Nawabshah",KE-UCN-202301-0001,2023-01,University Colony Nawabshah,Urban Residential Feeder,3.3,121.1,120.0,3550,Paid,No
Shabana Chandio,"House #241, Gali #14, Gareebabad Nawabshah",KE-GBN-202304-0019,2023-04,Gareebabad Nawabshah,Low-Income Residential Feeder,5.9,39.1,39.7,1100,Unpaid,No
Haris Rind,"House #351, Gali #10, Isharpura Nawabshah",KE-ISN-202302-0007,2023-02,Isharpura Nawabshah,Rural Feeder,7.3,58.1,118.3,1660,Unpaid,Yes
Maryam Sethar,"House #336, Block #20, Manwabad Nawabshah",KE-MWN-202302-0008,2023-02,Manwabad Nawabshah,Semi-Urban Feeder,6.2,49.5,51.7,1580,Paid,No
Usman Panhwar,"House #30, Mohalla #2, Gareebabad Nawabshah",KE-GBN-202508-0157,2025-08,Gareebabad Nawabshah,Low-Income Residential Feeder,12.5,50.6,52.5,1440,Partially Paid,No
Fahad Pathan,"House #234, Block #19, Farsi Bagh Nawabshah",KE-FBN-202406-0090,2024-06,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.6,145.4,146.3,4830,Paid,No
Mehwish Pathan,"House #96, Gali #31, Gareebabad Nawabshah",KE-GBN-202409-0101,2024-09,Gareebabad Nawabshah,Low-Income Residential Feeder,10.9,30.7,31.2,900,Partially Paid,No
Rabia Chachar,"House #199, Road #39, Gareebabad Nawabshah",KE-GBN-202509-0161,2025-09,Gareebabad Nawabshah,Low-Income Residential Feeder,11.5,44.7,45.2,1550,Unpaid,No
Aliya Abbasi,"House #178, Gali #43, Isharpura Nawabshah",KE-ISN-202506-0146,2025-06,Isharpura Nawabshah,Rural Feeder,14,39.2,38.4,1320,Paid,No
Hina Solangi,"House #283, Chowk #5, University Colony Nawabshah",KE-UCN-202404-0077,2024-04,University Colony Nawabshah,Urban Residential Feeder,2.7,103.1,107.2,3580,Unpaid,No
Iqra Shah,"House #9, Road #28, Manwabad Nawabshah",KE-MWN-202306-0026,2023-06,Manwabad Nawabshah,Semi-Urban Feeder,6.1,85.9,85.6,2440,Paid,No
Haris Rajput,"House #264, Mohalla #45, Isharpura Nawabshah",KE-ISN-202302-0009,2023-02,Isharpura Nawabshah,Rural Feeder,9.1,70.0,71.7,2000,Partially Paid,No
Shazia Chachar,"House #355, Gali #4, Society Colony Nawabshah",KE-SCN-202409-0105,2024-09,Society Colony Nawabshah,Urban Residential Feeder,3.7,107.0,108.6,3520,Paid,No
Iqra Siddiqui,"House #318, Lane #21, Manwabad Nawabshah",KE-MWN-202308-0038,2023-08,Manwabad Nawabshah,Semi-Urban Feeder,6.8,47.7,74.5,1440,Paid,Yes
Rizwan Marri,"House #137, Gali #39, Gareebabad Nawabshah",KE-GBN-202403-0072,2024-03,Gareebabad Nawabshah,Low-Income Residential Feeder,6.8,62.9,62.5,1780,Paid,No
Aamir Panhwar,"House #148, Lane #25, Farsi Bagh Nawabshah",KE-FBN-202503-0131,2025-03,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.4,151.8,150.9,5230,Paid,No
Junaid Sheikh,"House #366, Gali #3, Farsi Bagh Nawabshah",KE-FBN-202409-0104,2024-09,Farsi Bagh Nawabshah,Urban Commercial Feeder,4.2,87.6,86.3,2630,Paid,No
Maryam Bhurgri,"House #149, Gali #43, Manwabad Nawabshah",KE-MWN-202506-0147,2025-06,Manwabad Nawabshah,Semi-Urban Feeder,11.2,71.1,73.8,2150,Paid,No
Fahad Rajput,"House #401, Block #27, Manwabad Nawabshah",KE-MWN-202508-0156,2025-08,Manwabad Nawabshah,Semi-Urban Feeder,9.6,67.3,66.3,2050,Unpaid,No
Hamza Bijarani,"House #147, Road #41, Farsi Bagh Nawabshah",KE-FBN-202412-0119,2024-12,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.3,142.2,143.7,4490,Paid,No
Bushra Baloch,"House #422, Gali #25, Manwabad Nawabshah",KE-MWN-202308-0036,2023-08,Manwabad Nawabshah,Semi-Urban Feeder,10.4,82.2,81.5,2370,Unpaid,No
Shahzad Chandio,"House #259, Chowk #4, Isharpura Nawabshah",KE-ISN-202507-0154,2025-07,Isharpura Nawabshah,Rural Feeder,11.5,46.0,47.8,1600,Paid,No
Naveed Soomro,"House #154, Lane #35, Farsi Bagh Nawabshah",KE-FBN-202301-0004,2023-01,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.7,95.1,97.2,3020,Paid,No
Hina Junejo,"House #168, Street #11, Isharpura Nawabshah",KE-ISN-202311-0055,2023-11,Isharpura Nawabshah,Rural Feeder,8.3,36.1,36.3,1240,Unpaid,No
